Score
0
0
0
0
0
1
0
0
0
0
0
0
0
2
0
0
0
0
1
5
0
2
2
4
0
0
1
0
5
4
0
4
5
0
1
0
4
3
4
0
0
0
2
0
0
4
8
3
1
1
9
8
7
5
4
11
10
7
7
6
4
1
7
10
9
6
0
3
1
2
7
2
6
1
1
5
8
3
1
0
0
0
1
0
2
1
1
3
0
0
0
0
3
1
3
2
1
1
9
4
0
3
8
1
2
3
0
0
